,description
0,"|Roaster Location:
|San Diego, California
|Coffee Origin:
|Brazil; Guatemala; Sumatra
|Roast Level:
|Medium-Light
|Agtron:
|56/72
|Est. Price:
|$20.00/12 ounces
|Review Date:
|March 2021
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Deeply sweet, richly savory. Baking chocolate, plum, magnolia, cedar, agave syrup in aroma and cup. Sweet in structure with brisk acidity; satiny mouthfeel. Finish consolidates to notes of plum, magnolia and baking chocolate with cedar undertones.
Notes
This blend of coffees from Brazil, Guatemala and Sumatra is Nostalgia Coffee Roasters’ updated offering of its popular house blend for 2021. Founded by Taylor Fields in 2018, Nostalgia will continue to roll out new coffees for online sale. Visit www.nostalgiacoffeeroasters.com for more information.
Bottom Line
Friendly and appealing blend that is balanced, crisply fruit-toned, and satisfyingly chocolaty.
Explore Similar Coffees
Click here for more reviews from Nostalgia Coffee Roasters"
1,"Bridge Coffee Co.
Bowstring Christmas Blend
|Roaster Location:
|Marysville, California
|Coffee Origin:
|Africa; Central America
|Roast Level:
|Medium
|Agtron:
|50/66
|Est. Price:
|$20.00/12 ounces
|Review Date:
|December 2020
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Sweet-toned, chocolaty. Baking chocolate, date, roasted cashew, fresh-cut fir, agave syrup in aroma and cup. Sweet structure with brisk acidity; full, velvety mouthfeel. Crisply chocolaty and nut-toned finish.
Notes
A blend of washed-process coffees from Africa and Central America. Bridge Coffee Co. is an artisan roastery in Marysville, California whose motto is: “We are the bridge from the crop to the cup."" Visit www.bridgecoffeeco.com for more information.
Bottom Line
A friendly, accessible blend designed to evoke the warmth and spirit of the holidays with dried fruit, roasted nut, and chocolate tones throughout.
Explore Similar Coffees
Click here for more reviews from Bridge Coffee Co."
2,"|Roaster Location:
|San Diego, California
|Coffee Origin:
|La Argentina, Huila Department, Colombia
|Roast Level:
|Medium-Light
|Agtron:
|60/78
|Est. Price:
|$95.00/4 ounces
|Review Date:
|November 2021
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|10
|Aftertaste:
|9
Blind Assessment
Delicately fruit-forward, suave, intricate. Pluot, cocoa nib, Meyer lemon zest, star jasmine, pistachio in aroma and cup. Sweet-toned structure with elegantly bright acidity; silky, vibrant mouthfeel. Long, resonant, flavor-saturated finish.
Notes
This exceptional coffee was selected as the No. 8 coffee on Coffee Review’s list of the Top 30 Coffees of 2021. Produced by Anibal Burbano of Finca La Siria entirely of the celebrated Geisha (also spelled Gesha) variety of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Bird Rock Coffee Roasters is a retailer and wholesaler focused on organic and socially responsible coffees; it was awarded the “2012 Micro-Roaster of the Year” title by Roast Magazine. Visit www.birdrockcoffee.com or call 858-551-1707 for more information.
Bottom Line
A lyrically fruit-toned washed Geisha with intricate balance and deep, intriguing complexity.
Explore Similar Coffees
Click here for more reviews from Bird Rock Coffee Roasters
Click here for more information about coffees from Colombia
This review originally appeared in the November, 2021 tasting report: Our Love Affair with Geisha — It’s Not Just a Panama Thing Anymore"
3,"|Roaster Location:
|Glendale, California
|Coffee Origin:
|Tenejapa, Central Highlands, Chiapas, Mexico
|Roast Level:
|Medium
|Agtron:
|44/60
|Est. Price:
|$19.50/12 ounces
|Review Date:
|June 2023
|Aroma:
|8
|Acidity/Structure:
|8
|Body:
|8
|Flavor:
|8
|Aftertaste:
|8
Blind Assessment
Roasty-sweet, crisply chocolaty. Baking chocolate, roasted almond, gently scorched oak, shortbread cookie, narcissus in aroma and cup. Gentle, round acidity; full, creamy mouthfeel. Finish consolidates to notes of baking chocolate, scorched oak, and almond.
Notes
Produced by smallholding members of the Kulatik Cooperative, from trees of the Typica, Bourbon and Caturra varieties of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Regent strives to deliver coffee with care and purpose. Visit regentcoffee.com for more information.
Bottom Line
A deep-toned Chiapas cup with a throughline of crisp chocolate and almond, roast-rounded and sweet.
Explore Similar Coffees
Click here for more reviews from Regent Coffee
Click here for more information about coffees from Mexico"
4,"|Roaster Location:
|Floyd, Virginia
|Coffee Origin:
|Alotepec-Metapan region, El Salvador
|Roast Level:
|Light
|Agtron:
|62/80
|Est. Price:
|$22.99/12 ounces
|Review Date:
|September 2020
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Balanced, deep, sweetly savory. Tamarind, dark chocolate, gardenia, candycap mushroom, almond in aroma and cup. Crispy sweet structure with brisk acidity; satiny mouthfeel. Chocolaty finish with undertones of tamarind and almond.
Notes
This coffee tied for the third-highest rating in a cupping of washed-process coffees from Central America and Mexico for Coffee Review’s September 2020 report. Produced by Enrique Mena Gutierrez in association with the Biokrop Project by Tierra Bendita entirely from trees of the Pacamara variety and processed by the washed method. Established in 2010, Red Rooster is an organic-certified micro-roaster focusing on socially conscious coffee, high-quality coffee. Visit redroostercoffee.com or call 540-745-7338 for more information.
Bottom Line
A harmonious El Salvador Pacamara cup with equal parts high-toned sweetness and deep-toned savory notes.
Explore Similar Coffees
Click here for more reviews from Red Rooster Coffee Roaster
Click here for more information about coffees from El Salvador
This review originally appeared in the September, 2020 tasting report: The Fate of a Classic: Washed Central America Coffees"
5,"|Roaster Location:
|Madison, Wisconsin
|Coffee Origin:
|Tangara, Ngozi Province, Burundi
|Roast Level:
|Medium-Light
|Agtron:
|61/77
|Est. Price:
|$21.00/12 ounces
|Review Date:
|June 2023
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Complex, sweetly savory. Yellow plum, saltwater taffy, lemon thyme, agave syrup, freesia in aroma and cup. Bright, juicy acidity; crisp, satiny mouthfeel. Sweet fruit in the finish with herb undertones.
Notes
Produced by smallholding farmers of the Tangara community, entirely of the Red Bourbon variety of Arabica, and processed by the traditional washed method (fruit skin and flesh removed before drying). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit jbccoffeeroasters.com or call 608-256-5282 for more information
Bottom Line
A multi-layered Burundi complicated by a compelling sweet herbaceousness and savory depth.
Explore Similar Coffees
Click here for more reviews from JBC Coffee Roasters
Click here for more information about coffees from Burundi"
6,"|Roaster Location:
|Jersey City, New Jersey
|Coffee Origin:
|Sidama Region, south-central Ethiopia
|Roast Level:
|Medium-Light
|Agtron:
|59/77
|Est. Price:
|$25.00/8 ounces
|Review Date:
|June 2022
|Aroma:
|9
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
|With Milk:
|9
Blind Assessment
Evaluated as espresso. Aromatically intense, sweet-tart-savory. Concord grape, lychee, dark chocolate, aloewood, oregano in aroma and cup. Creamy-smooth mouthfeel; savory, herbaceous, chocolaty finish. In three parts milk, savory notes usurp sweet, with inviting aloewood and oregano notes supported by dark chocolate and lychee undertones.
Notes
Produced by Faysel Abdosh from distinctive traditional Ethiopian landrace varieties of Arabica long grown in the region. This lot was processed by the anaerobic natural method, in which fermentation of the whole fruit occurs in a hermetically sealed vessel. Founded in 2013, modcup coffee focuses on fresh roasting and distinctive natural-processed coffees. Visit modcup.com for more information.
Bottom Line
A strikingly composed Ethiopia anaerobic natural. Experimental processing seems to encourage a complex savory structure that pleasingly supports the up-front fruit.
Explore Similar Coffees
Click here for more reviews from modcup coffee
This review originally appeared in the June, 2022 tasting report: Fruit Bombs Are the Point: Natural-Processed Espressos Defy Convention"
7,"Indaba Coffee Roasters
Guatemala Villatoro Anaerobic
|Roaster Location:
|Spokane, Washington
|Coffee Origin:
|Huehuetenango growing region, Guatemala
|Roast Level:
|Medium-Light
|Agtron:
|55/73
|Est. Price:
|$30.00/12 ounces
|Review Date:
|April 2021
|Aroma:
|8
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Sweet-savory, deeply aromatic. Dried raspberry, young goat cheese, vanilla, dark chocolate, barley in aroma and cup. Savory-leaning structure with sweet-tart lactic acidity; syrupy-smooth mouthfeel. Fruit-toned, chocolaty finish with a lactic tang.
Notes
Produced by Rodin Ivan Villatoro of Finca Esperanza of the Bourbon and Caturra varieties of Arabica and processed by the natural anaerobic method (whole fruit is fermented with limited oxygen before drying). Imported by Onyx Coffee. Indaba Coffee is a small family-owned business in the heart of Spokane, Washington whose mission is “radical hospitality.” For every bag of coffee sold, Indaba donates a meal to someone in need through the 2nd Harvest Food Bank. Visit www.indabacoffee.com for more information.
Bottom Line
An interesting sweet-savory cup profile with berry and chocolate in the foreground and undertones of a pleasantly tangy sensation akin to fresh goat cheese.
Explore Similar Coffees
Click here for more reviews from Indaba Coffee Roasters"
8,"|Roaster Location:
|Charlotte, North Carolina
|Coffee Origin:
|Papua New Guinea; Colombia
|Roast Level:
|Medium-Light
|Agtron:
|54/74
|Est. Price:
|$15.00/12 ounces
|Review Date:
|March 2021
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Rich, deep-toned. Cocoa powder, roasted cashew, persimmon, bay leaf, fresh-cut fir in aroma and cup. Sweetly savory with gentle, round acidity; full, satiny-smooth mouthfeel. The cocoa-driven finish is complicated by persimmon and fir.
Notes
This coffee tied for the third-highest rating in a cupping of “Cause Coffees” for Coffee Review’s March 2021 report. Roasters of these coffees contribute a portion of proceeds to non-profit organizations doing work to improve the lives of others, locally or globally. This coffee is a blend of coffees from Papua New Guinea and Colombia, both washed-process. Proceeds from the sale of this coffee support the Levine Children’s Hospital in Charlotte, North Carolina. Magnolia Coffee is a Charlotte-based specialty roaster whose motto is “Craft roasted. Truly delicious. Socially conscious.” Magnolia particularly emphasizes community engagement through its Local Beans for Local Good programs. Visit www.magnoliacoffeeco.com for more information.
Bottom Line
A rich, resonant blend of Papua New Guinea and Colombia coffees with an appealing cocoa throughline nuanced by sweet herb undertones.
Explore Similar Coffees
Click here for more reviews from Magnolia Coffee
This review originally appeared in the March, 2021 tasting report: Coffee as a Force for Good: Roasters Who Give Back"
9,"|Roaster Location:
|Plymouth, Massachusetts
|Coffee Origin:
|Monte Verde, Santa Ana Department, central El Salvador
|Roast Level:
|Medium-Light
|Agtron:
|60/76
|Est. Price:
|$16.00/12 ounces
|Review Date:
|September 2023
|Aroma:
|8
|Acidity/Structure:
|9
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Sweetly bright, rich-toned. Baking chocolate, agave syrup, violet, hazelnut, tangerine in aroma and cup. Balanced, bright acidity; crisp, satiny mouthfeel. The pleasing finish centers around notes of baking chocolate and hazelnut.
Notes
Produced by Rene Contreras on the family farm in Monte Verde and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). Speedwell Coffee, based in Plymouth, Massachusetts, is a wholesale and retail specialty roaster particularly dedicated to offering attractive coffee subscription plans. For more information, visit www.speedwellcoffee.com.
Bottom Line
A solid El Salvador cup with a crisp chocolate throughline and especially vibrant acidity.
Explore Similar Coffees
Click here for more reviews from Speedwell Coffee
Click here for more information about coffees from El Salvador"
