,Blind_Assessment,Origin
0,"deeply sweet, richly savory. baking chocolate, plum, magnolia, cedar, agave syrup in aroma and cup. sweet in structure with brisk acidity; satiny mouthfeel. finish consolidates to notes of plum, magnolia and baking chocolate with cedar undertones.",sumatra
2,"delicately fruit-forward, suave, intricate. pluot, cocoa nib, meyer lemon zest, star jasmine, pistachio in aroma and cup. sweet-toned structure with elegantly bright acidity; silky, vibrant mouthfeel. long, resonant, flavor-saturated finish.",colombia
3,"roasty-sweet, crisply chocolaty. baking chocolate, roasted almond, gently scorched oak, shortbread cookie, narcissus in aroma and cup. gentle, round acidity; full, creamy mouthfeel. finish consolidates to notes of baking chocolate, scorched oak, and almond.",mexico
4,"balanced, deep, sweetly savory. tamarind, dark chocolate, gardenia, candycap mushroom, almond in aroma and cup. crispy sweet structure with brisk acidity; satiny mouthfeel. chocolaty finish with undertones of tamarind and almond.",salvador
5,"complex, sweetly savory. yellow plum, saltwater taffy, lemon thyme, agave syrup, freesia in aroma and cup. bright, juicy acidity; crisp, satiny mouthfeel. sweet fruit in the finish with herb undertones.",burundi
6,"evaluated as espresso. aromatically intense, sweet-tart-savory. concord grape, lychee, dark chocolate, aloewood, oregano in aroma and cup. creamy-smooth mouthfeel; savory, herbaceous, chocolaty finish. in three parts milk, savory notes usurp sweet, with inviting aloewood and oregano notes supported by dark chocolate and lychee undertones.",ethiopia
7,"sweet-savory, deeply aromatic. dried raspberry, young goat cheese, vanilla, dark chocolate, barley in aroma and cup. savory-leaning structure with sweet-tart lactic acidity; syrupy-smooth mouthfeel. fruit-toned, chocolaty finish with a lactic tang.",guatemala
8,"rich, deep-toned. cocoa powder, roasted cashew, persimmon, bay leaf, fresh-cut fir in aroma and cup. sweetly savory with gentle, round acidity; full, satiny-smooth mouthfeel. the cocoa-driven finish is complicated by persimmon and fir.",colombia
9,"sweetly bright, rich-toned. baking chocolate, agave syrup, violet, hazelnut, tangerine in aroma and cup. balanced, bright acidity; crisp, satiny mouthfeel. the pleasing finish centers around notes of baking chocolate and hazelnut.",salvador
10,"deeply sweet-tart, chocolate-toned. dark chocolate, pomegranate, praline, magnolia, a hint of marjoram in aroma and cup. sweet-tart structure with brisk acidity; very full, syrupy mouthfeel. the finish consolidates to dark chocolate with undertones of praline and magnolia.",guatemala
